Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Viscosity, mPa.s",lg_Viscosity,Smiles#1,Smiles#2
III,1-ethyl-3-methylimidazol-3-ium;chloride,"1H-1,2,4-triazole",0.5,0.5,313.15,34.7,1.540329475,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1
III,1-ethyl-3-methylimidazol-3-ium;chloride,2H-benzotriazole,0.5,0.5,313.15,75.3,1.876794976,CCN1C=C[N+](=C1)C.[Cl-],C1=CC2=NNN=C2C=C1
III,1-ethyl-3-methylimidazol-3-ium;chloride,2H-tetrazole,0.5,0.5,313.15,44.6,1.649334859,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1
III,1-ethyl-3-methylimidazol-3-ium;chloride,1H-imidazole,0.5,0.5,313.15,317.4,2.501606922,CCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1
III,1-ethyl-3-methylimidazol-3-ium;chloride,phenol,0.5,0.5,313.15,58,1.763427994,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C(C=C1)O
III,1-ethyl-3-methylimidazol-3-ium;chloride,"pyrrolidine-2,5-dione",0.5,0.5,313.15,59.3,1.773054693,CCN1C=C[N+](=C1)C.[Cl-],C1CC(=O)NC1=O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,313.15,330.7,2.519434195,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,323.15,165,2.217483944,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,333.15,89.1,1.949877704,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,343.15,51.8,1.71432976,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.143,0.857,353.15,31.4,1.496929648,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,313.15,300.2,2.477410688,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,323.15,151.7,2.180985581,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,333.15,83.7,1.922725458,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,343.15,48.5,1.685741739,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.167,0.833,353.15,29.7,1.472756449,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.2,0.8,313.15,296.7,2.472317546,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.2,0.8,323.15,147.8,2.169674434,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.2,0.8,333.15,79.6,1.900913068,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.2,0.8,343.15,45.6,1.658964843,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,"1-(1,4-dimethylpiperazin-1-ium-1-yl)ethanol;bromide","propane-1,2,3-triol",0.2,0.8,353.15,28.2,1.450249108,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O
III,2-acetyloxyethyl(trimethyl)azanium;chloride,"1H-1,2,4-triazole",0.5,0.5,303.15,304.69,2.483858201,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,"1H-1,2,4-triazole",0.5,0.5,313.15,153.71,2.186702123,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,"1H-1,2,4-triazole",0.5,0.5,323.15,83.06,1.919391927,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,"1H-1,2,4-triazole",0.5,0.5,333.15,46.48,1.667266119,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,"1H-1,2,4-triazole",0.5,0.5,343.15,27.73,1.44294987,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,"1H-1,2,4-triazole",0.5,0.5,353.15,14.51,1.161667412,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,"1H-1,2,4-triazole",0.5,0.5,363.15,8.37,0.922725458,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.25,0.75,303.15,335.98,2.526313426,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.25,0.75,313.15,189.19,2.276898177,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.25,0.75,323.15,98.8,1.994756945,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.25,0.75,333.15,57.92,1.762828553,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.25,0.75,343.15,35.77,1.55351894,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.25,0.75,353.15,25.74,1.410608543,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.25,0.75,363.15,17.68,1.247482261,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.3333,0.6667,303.15,103.33,2.014226429,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.3333,0.6667,313.15,52.18,1.717504075,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.3333,0.6667,333.15,21.49,1.332236415,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.3333,0.6667,343.15,11.37,1.055760465,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.3333,0.6667,353.15,6.84,0.835056102,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.3333,0.6667,363.15,4.17,0.620136055,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.4,0.6,303.15,233.69,2.368640129,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.4,0.6,313.15,120.91,2.082462221,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.4,0.6,323.15,59.05,1.771219902,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.4,0.6,333.15,35.29,1.547651658,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.4,0.6,343.15,18.67,1.271144318,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.4,0.6,353.15,16.53,1.218272854,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-acetyloxyethyl(trimethyl)azanium;chloride,1H-imidazole,0.4,0.6,363.15,11.69,1.067814511,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
III,2-hydroxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,293.15,134.23,2.12784959,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,303.15,79.14,1.898396046,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,313.15,47.76,1.679064318,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,323.15,31.29,1.495405563,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-acetyloxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,293.15,164.52,2.216218701,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O
III,2-acetyloxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,303.15,85.88,1.933892036,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O
III,2-acetyloxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,313.15,46.75,1.669781615,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O
III,2-acetyloxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,323.15,31.58,1.499412126,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O
III,2-acetyloxyethyl(trimethyl)azanium;chloride,4-oxopentanoic acid,0.25,0.75,333.15,21.47,1.331832044,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium;chloride,4-oxopentanoic acid,0.25,0.75,293.15,130.07,2.11417714,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium;chloride,4-oxopentanoic acid,0.25,0.75,303.15,69.81,1.843917638,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium;chloride,4-oxopentanoic acid,0.25,0.75,313.15,39.07,1.591843411,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium;chloride,4-oxopentanoic acid,0.25,0.75,333.15,18.71,1.272073788,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium;bromide,4-oxopentanoic acid,0.25,0.75,293.15,148.95,2.173040508,CC[N+](CC)(CC)CC.[Br-],CC(=O)CCC(=O)O
III,tetraethylazanium;bromide,4-oxopentanoic acid,0.25,0.75,303.15,76.98,1.886377907,CC[N+](CC)(CC)CC.[Br-],CC(=O)CCC(=O)O
III,tetraethylazanium;bromide,4-oxopentanoic acid,0.25,0.75,313.15,42.42,1.627570664,CC[N+](CC)(CC)CC.[Br-],CC(=O)CCC(=O)O
III,tetraethylazanium;bromide,4-oxopentanoic acid,0.25,0.75,323.15,28.81,1.459543258,CC[N+](CC)(CC)CC.[Br-],CC(=O)CCC(=O)O
III,tetraethylazanium;bromide,4-oxopentanoic acid,0.25,0.75,333.15,19.74,1.295347148,CC[N+](CC)(CC)CC.[Br-],CC(=O)CCC(=O)O
III,tetrabutylazanium;chloride,4-oxopentanoic acid,0.25,0.75,293.15,121.68,2.085219201,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium;chloride,4-oxopentanoic acid,0.25,0.75,303.15,65.59,1.816837631,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium;chloride,4-oxopentanoic acid,0.25,0.75,313.15,36.66,1.564192461,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium;chloride,4-oxopentanoic acid,0.25,0.75,323.15,25.46,1.405858399,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium;chloride,4-oxopentanoic acid,0.25,0.75,333.15,17.47,1.242292905,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium;bromide,4-oxopentanoic acid,0.25,0.75,293.15,376.5,2.575764981,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(=O)CCC(=O)O
III,tetrabutylazanium;bromide,4-oxopentanoic acid,0.25,0.75,303.15,175.1,2.243286146,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(=O)CCC(=O)O
III,tetrabutylazanium;bromide,4-oxopentanoic acid,0.25,0.75,313.15,93.88,1.972573081,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(=O)CCC(=O)O
III,tetrabutylazanium;bromide,4-oxopentanoic acid,0.25,0.75,323.15,53.38,1.727378569,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(=O)CCC(=O)O
III,tetrabutylazanium;bromide,4-oxopentanoic acid,0.25,0.75,333.15,33.85,1.529558673,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(=O)CCC(=O)O
III,"N,N-dimethylmethanamine;hydrochloride",4-oxopentanoic acid,0.25,0.75,293.15,74.02,1.869349081,CN(C)C.Cl,CC(=O)CCC(=O)O
III,"N,N-dimethylmethanamine;hydrochloride",4-oxopentanoic acid,0.25,0.75,303.15,42.25,1.625826713,CN(C)C.Cl,CC(=O)CCC(=O)O
III,"N,N-dimethylmethanamine;hydrochloride",4-oxopentanoic acid,0.25,0.75,313.15,25.57,1.407730728,CN(C)C.Cl,CC(=O)CCC(=O)O
III,"N,N-dimethylmethanamine;hydrochloride",4-oxopentanoic acid,0.25,0.75,323.15,17.71,1.248218561,CN(C)C.Cl,CC(=O)CCC(=O)O
III,"N,N-dimethylmethanamine;hydrochloride",4-oxopentanoic acid,0.25,0.75,333.15,12.7,1.103803721,CN(C)C.Cl,CC(=O)CCC(=O)O
III,ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.4,0.6,313.15,256,2.408239965,CCN.Cl,C(=O)(C(F)(F)F)N
III,ethanamine;hydrochloride,acetamide,0.4,0.6,313.15,64,1.806179974,CCN.Cl,CC(=O)N
III,ethanamine;hydrochloride,urea,0.4,0.6,313.15,128,2.10720997,CCN.Cl,C(=O)(N)N
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.3333,0.6667,313.15,77,1.886490725,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,293.15,57.19,1.757320097,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,298.15,43.59,1.639386869,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,303.15,33.68,1.527372083,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,308.15,26.69,1.426348574,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,313.15,21.74,1.33725954,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,318.15,17.83,1.251151343,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,323.15,14.79,1.169968174,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,328.15,12.43,1.094471129,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,333.15,10.57,1.024074987,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,338.15,9.082,0.958181498,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-(2-hydroxyethoxy)ethanol,0.0588,0.9412,343.15,7.87,0.895974732,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,293.15,76.631,1.884404493,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,298.15,57.941,1.762985986,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,303.15,44.819,1.651462162,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,308.15,35.259,1.547269991,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,313.15,28.277,1.451433332,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,318.15,22.986,1.361463402,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,323.15,18.966,1.277975746,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,328.15,15.865,1.200440076,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,333.15,13.428,1.128011333,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,triphenyl(prop-2-enyl)phosphanium;bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.0588,0.9412,343.15,9.8905,0.995218247,C=CC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,azanium;thiocyanate,acetamide,0.25,0.75,313.15,20.29,1.307282047,C(#N)[S-].[NH4+],CC(=O)N
III,azanium;thiocyanate,urea,0.4,0.6,313.15,27.76,1.443419462,C(#N)[S-].[NH4+],C(=O)(N)N
III,azanium;thiocyanate,"propane-1,2,3-triol",0.4,0.6,313.15,71.18,1.852357984,C(#N)[S-].[NH4+],C(C(CO)O)O
III,azanium;thiocyanate,"propane-1,2,3-triol",0.3333,0.6667,313.15,88.64,1.947629747,C(#N)[S-].[NH4+],C(C(CO)O)O
III,azanium;thiocyanate,"propane-1,2,3-triol",0.25,0.75,313.15,107.84,2.032779879,C(#N)[S-].[NH4+],C(C(CO)O)O
III,azanium;thiocyanate,"propane-1,2,3-triol",0.2,0.8,313.15,136.17,2.134081437,C(#N)[S-].[NH4+],C(C(CO)O)O
III,azanium;thiocyanate,"ethane-1,2-diol",0.25,0.75,313.15,11.46,1.059184618,C(#N)[S-].[NH4+],C(CO)O
III,azanium;thiocyanate,urea,0.4,0.6,313.15,41.04,1.613207352,C(#N)[S-].[NH4+],C(=O)(N)N
III,azanium;thiocyanate,acetamide,0.4,0.6,313.15,26.22,1.418632687,C(#N)[S-].[NH4+],CC(=O)N
III,azanium;thiocyanate,azepan-2-one,0.25,0.75,313.15,382.6,2.582744966,C(#N)[S-].[NH4+],C1CCC(=O)NCC1
III,benzyl(triethyl)azanium;chloride,4-methylbenzenesulfonic acid;hydrate,0.3,0.7,333.15,344,2.536558443,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O.O
III,benzyl(triethyl)azanium;chloride,4-methylbenzenesulfonic acid;hydrate,0.3,0.7,293.15,26.457,1.422540597,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O.O
III,benzyl(triethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid;hydrate",0.5,0.5,333.15,76.406,1.883127464,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O
III,benzyl(triethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid;hydrate",0.5,0.5,328.15,102.953,2.012639006,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O
III,benzyl(triethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid;hydrate",0.5,0.5,323.15,135.35,2.13145826,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O
III,benzyl(triethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid;hydrate",0.5,0.5,318.15,172.454,2.236673272,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O
III,benzyl(triethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid;hydrate",0.5,0.5,313.15,292.536,2.466179319,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O
III,benzyl(triethyl)azanium;chloride,oxalic acid;dihydrate,0.5,0.5,333.15,207,2.315970345,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O.O.O
III,benzyl(triethyl)azanium;chloride,oxalic acid;dihydrate,0.5,0.5,328.15,419,2.622214023,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],C(=O)(C(=O)O)O.O.O
III,butyl(triphenyl)phosphanium;bromide,"ethane-1,2-diol",0.077,0.923,303.15,28.15,1.449478399,CCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O
III,methyl(triphenyl)phosphanium;bromide,2-aminoethanol,0.111,0.889,303.15,34.59,1.538950562,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium;bromide,2-aminoethanol,0.125,0.875,303.15,39.487,1.59645414,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,methyl(triphenyl)phosphanium;bromide,2-aminoethanol,0.143,0.857,303.15,42.911,1.632568635,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)N
III,tetrabutylazanium;bromide,2-(2-hydroxyethylamino)ethanol,0.143,0.857,303.15,420.303,2.62356249,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)NCCO
III,tetrabutylazanium;bromide,2-aminoethanol,0.143,0.857,303.15,43.012,1.633589637,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N
III,benzyl-(2-hydroxyethyl)-dimethylazanium;chloride,acetic acid,0.3333,0.6667,293.15,334.28,2.524110393,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],CC(=O)O
III,benzyl-(2-hydroxyethyl)-dimethylazanium;chloride,acetic acid,0.3333,0.6667,298.15,238.16,2.376868822,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],CC(=O)O
III,benzyl-(2-hydroxyethyl)-dimethylazanium;chloride,acetic acid,0.3333,0.6667,303.15,166.52,2.221466402,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],CC(=O)O
III,benzyl-(2-hydroxyethyl)-dimethylazanium;chloride,acetic acid,0.3333,0.6667,308.15,122.72,2.088915347,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],CC(=O)O
