Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Surface_tension, mN/m",Smiles#1,Smiles#2
III,benzyl(triphenyl)phosphanium chloride,2-(2-hydroxyethoxy)ethanol,0.125,0.875,333,46.37,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(COCCO)O
III,benzyl(triphenyl)phosphanium chloride,2-(2-hydroxyethoxy)ethanol,0.125,0.875,343,38.58,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(COCCO)O
III,benzyl(triphenyl)phosphanium chloride,2-(2-hydroxyethoxy)ethanol,0.125,0.875,353,32.71,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(COCCO)O
III,benzyl(triphenyl)phosphanium chloride,"ethane-1,2-diol",0.083,0.917,298.15,66.93,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,293,32.9,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,295,32.8,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,297,32.5,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,299,32.3,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,301,32.1,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,303,31.9,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,305,31.7,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,307,31.6,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,309,31.3,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.05,0.95,311,31.1,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,293,33.7,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,295,33.4,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,297,33.2,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,299,33,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,301,32.8,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,303,32.6,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,305,32.2,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,307,32,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,309,31.9,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.1,0.9,311,31.7,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,293,34.2,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,295,33.9,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,297,33.7,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,299,33.4,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,301,33.3,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,303,33.2,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,305,33.1,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,307,33,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,309,32.9,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.15,0.85,311,32.6,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,293,34.7,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,295,34.5,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,297,34.3,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,299,34.2,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,301,34.1,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,303,33.9,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,305,33.7,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,307,33.5,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,309,33.4,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,2-diol",0.2,0.8,311,33.2,C[N+](C)(C)CCO.[Cl-],CCC(CO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,293,34.4,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,295,34.2,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,297,34,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,299,33.9,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,301,33.7,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,303,33.4,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,305,33,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,307,32.6,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,309,32.3,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.05,0.95,311,31.9,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,293,38.2,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,295,37.9,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,297,37.8,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,299,37.5,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,301,37.5,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,303,36.9,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,305,36.5,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,307,36.2,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,309,35.9,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.1,0.9,311,35.7,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,293,39,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,295,38.9,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,297,38.6,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,299,38.3,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,301,38.3,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,303,38.2,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,305,38,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,307,37.6,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,309,37.2,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.15,0.85,311,36.9,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,293,40.1,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,295,39.8,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,297,39.6,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,299,39.6,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,301,39.2,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,303,39.2,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,305,38.9,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,307,38.5,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,309,38.3,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,3-diol",0.2,0.8,311,38.1,C[N+](C)(C)CCO.[Cl-],CC(CCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,293,46.4,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,295,46.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,297,46.1,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,299,46,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,301,45.9,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,303,45.8,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,305,45.7,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,307,45.6,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,309,45.4,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.05,0.95,311,45.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,293,46.8,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,295,46.7,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,297,46.6,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,299,46.4,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,301,46.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,303,46.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,305,46.2,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,307,46.1,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,309,46,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.1,0.9,311,45.8,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,293,46.9,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,295,46.8,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,297,46.8,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,299,46.7,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,301,46.5,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,303,46.4,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,305,46.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,307,46.1,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,309,46,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.15,0.85,311,46,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,293,47.4,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,295,47.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,297,47.1,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,299,47,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,301,46.9,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,303,46.8,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,305,46.6,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,307,46.6,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,309,46.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.2,0.8,311,46.2,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,293,47.6,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,295,47.5,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,297,47.4,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,299,47.4,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,301,47.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,303,47.3,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,305,47.2,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,307,47.1,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,309,47.1,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-1,4-diol",0.25,0.75,311,47,C[N+](C)(C)CCO.[Cl-],C(CCO)CO
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,293,34.2,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,295,34,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,297,33.7,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,299,33.7,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,301,33.5,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,303,33.2,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,305,33,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,307,32.9,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,309,32.6,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.05,0.95,311,32.3,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,293,34.5,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,295,34.3,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,297,34.1,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,299,33.9,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,301,33.4,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,303,33.3,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,305,33.2,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,307,33.1,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,309,32.8,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.1,0.9,311,32.8,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,293,35.1,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,295,34.9,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,297,34.6,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,299,34.4,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,301,34.2,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,303,34,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,305,33.7,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,307,33.5,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,309,33.3,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.15,0.85,311,33,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.2,0.8,293,35.6,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.2,0.8,295,35.4,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.2,0.8,297,34.9,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.2,0.8,299,34.7,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.2,0.8,301,34.7,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.2,0.8,303,34.5,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"butane-2,3-diol",0.2,0.8,305,34.3,C[N+](C)(C)CCO.[Cl-],CC(C(C)O)O
