Type of DES,Component#1,Component#2,X#1,X#2,"T, K",Refractive_index,Smiles#1,Smiles#2
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,318.15,1.45575,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,323.15,1.45424,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,328.15,1.45271,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,333.15,1.45141,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,343.15,1.44844,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,293.15,1.4578,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,298.15,1.45612,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,308.15,1.45279,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,313.15,1.45117,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,318.15,1.44952,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,323.15,1.44783,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,328.15,1.44621,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,338.15,1.44295,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,343.15,1.44137,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,293.15,1.46416,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,303.15,1.46103,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,308.15,1.4594,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,313.15,1.45796,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,318.15,1.45635,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,323.15,1.45478,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,328.15,1.45324,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,333.15,1.45172,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetraethylazanium chloride,4-oxopentanoic acid,0.3333,0.6667,343.15,1.44875,CC[N+](CC)(CC)CC.[Cl-],CC(=O)CCC(=O)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.3333,0.6667,293.15,1.4703,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.3333,0.6667,313.15,1.4641,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.3333,0.6667,323.15,1.4609,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.3333,0.6667,333.15,1.4578,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.3333,0.6667,353.15,1.4509,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.25,0.75,293.15,1.4653,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.25,0.75,303.15,1.4619,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.25,0.75,313.15,1.4587,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.25,0.75,333.15,1.4525,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.25,0.75,343.15,1.4495,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.25,0.75,353.15,1.4469,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.2,0.8,293.15,1.4615,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.2,0.8,303.15,1.4585,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.2,0.8,313.15,1.4554,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.2,0.8,333.15,1.4491,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.2,0.8,343.15,1.445,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"ethane-1,2-diol",0.2,0.8,353.15,1.4427,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CO)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.25,0.75,293.15,1.4802,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.25,0.75,303.15,1.4774,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.25,0.75,323.15,1.4716,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.25,0.75,333.15,1.4685,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.25,0.75,353.15,1.462,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.2,0.8,293.15,1.4776,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.2,0.8,303.15,1.4747,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.2,0.8,313.15,1.4718,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.2,0.8,323.15,1.4687,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.2,0.8,333.15,1.4658,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.2,0.8,353.15,1.4603,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.1667,0.8333,293.15,1.4781,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.1667,0.8333,313.15,1.4726,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.1667,0.8333,323.15,1.4697,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.1667,0.8333,333.15,1.4668,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.1667,0.8333,343.15,1.4638,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,"propane-1,2,3-triol",0.1667,0.8333,353.15,1.4607,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C(CO)O)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.5,0.5,293.15,1.48,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.5,0.5,313.15,1.4742,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.5,0.5,323.15,1.4711,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.5,0.5,343.15,1.4646,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.5,0.5,353.15,1.4614,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.6667,0.3333,293.15,1.4851,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.6667,0.3333,303.15,1.4821,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.6667,0.3333,313.15,1.479,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.6667,0.3333,333.15,1.4731,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.6667,0.3333,343.15,1.4701,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.6667,0.3333,353.15,1.4673,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.75,0.25,293.15,1.4858,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.75,0.25,313.15,1.4806,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.75,0.25,323.15,1.4777,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.75,0.25,333.15,1.4747,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.75,0.25,353.15,1.4686,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.8,0.2,293.15,1.4871,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.8,0.2,303.15,1.4841,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.8,0.2,313.15,1.4811,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.8,0.2,323.15,1.4781,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.8,0.2,333.15,1.4752,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,tetrabutylazanium chloride,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.8,0.2,353.15,1.4692,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(COCCOCCO)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,293.15,1.564233,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,303.15,1.56047,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,308.15,1.558775,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,313.15,1.557284,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,318.15,1.555942,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,328.15,1.553334,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,333.15,1.552024,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.2,0.8,293.15,1.4736,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.2,0.8,298.15,1.4721,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.2,0.8,303.15,1.4706,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.2,0.8,313.15,1.4673,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.2,0.8,318.15,1.4656,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.2,0.8,323.15,1.4638,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.2,0.8,333.15,1.4599,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,293.15,1.4709,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,298.15,1.4693,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,303.15,1.4678,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,308.15,1.4662,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,313.15,1.4642,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,323.15,1.4608,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,333.15,1.457,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,293.15,1.4695,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,298.15,1.4677,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,303.15,1.466,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,308.15,1.4642,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,313.15,1.4627,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,323.15,1.4592,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,328.15,1.4575,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetrabutylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,333.15,1.4555,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.2,0.8,293.15,1.4786,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.2,0.8,303.15,1.4751,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.2,0.8,308.15,1.4732,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.2,0.8,318.15,1.4697,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.2,0.8,323.15,1.468,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.2,0.8,328.15,1.4665,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.2,0.8,333.15,1.4647,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,293.15,1.4733,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,298.15,1.4719,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,303.15,1.4703,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,313.15,1.467,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,318.15,1.4653,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,328.15,1.4622,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1429,0.8571,333.15,1.4602,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,293.15,1.4717,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,298.15,1.4697,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,303.15,1.4678,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,308.15,1.4662,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,318.15,1.4627,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,328.15,1.4592,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,tetraethylazanium chloride,3-aminopropan-1-ol,0.1111,0.8889,333.15,1.4576,CC[N+](CC)(CC)CC.[Cl-],C(CN)CO
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,283.15,1.4957,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,288.15,1.4945,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,293.15,1.4929,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,298.15,1.4909,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,303.15,1.4893,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,313.15,1.486,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,318.15,1.4849,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,328.15,1.4815,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,333.15,1.4804,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,338.15,1.4786,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,343.15,1.4776,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,283.15,1.4954,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,288.15,1.494,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,298.15,1.4911,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,308.15,1.4884,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,313.15,1.4869,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,318.15,1.4855,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,323.15,1.4841,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,328.15,1.4826,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,333.15,1.4813,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(trimethyl)azanium chloride,2-(2-hydroxyethoxy)ethanol,0.25,0.75,343.15,1.4784,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(COCCO)O
III,benzyl(tributyl)azanium chloride,"ethane-1,2-diol",0.25,0.75,283.15,1.4993,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(CO)O
III,benzyl(tributyl)azanium chloride,"ethane-1,2-diol",0.25,0.75,288.15,1.4979,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(CO)O
III,benzyl(tributyl)azanium chloride,"ethane-1,2-diol",0.25,0.75,298.15,1.4947,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(CO)O
III,benzyl(tributyl)azanium chloride,"ethane-1,2-diol",0.25,0.75,303.15,1.4932,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],C(CO)O
