Type of DES,Component#1,Component#2,X#1,X#2,"T, K",Refractive_index,Smiles#1,Smiles#2
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,303.15,1.4894,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,308.15,1.4881,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,318.15,1.4854,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,323.15,1.4841,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,333.15,1.4814,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2,2-trichloroacetic acid",0.3333,0.6667,338.15,1.48,C[N+](C)(C)CCO.[Cl-],C(=O)(C(Cl)(Cl)Cl)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,293.15,1.48441,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,298.15,1.4833,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,308.15,1.48093,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,313.15,1.47971,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,318.15,1.47853,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,328.15,1.47616,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,333.15,1.47491,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,338.15,1.47369,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,343.15,1.47251,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,348.15,1.47129,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,293.15,1.48413,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxyacetic acid,0.5,0.5,298.15,1.48293,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)O
