Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Heat_capacity, J.mol-1.K-1",Smiles#1,Smiles#2
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.803,0.197,298.15,259,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.803,0.197,303.15,268,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.803,0.197,313.15,290,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.803,0.197,323.15,305,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.596,0.404,298.15,235.9,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.596,0.404,303.15,248,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.596,0.404,313.15,280.9,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.596,0.404,323.15,299.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.408,0.592,298.15,193.7,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.408,0.592,303.15,205.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.408,0.592,313.15,227.8,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.408,0.592,323.15,247.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.224,0.776,298.15,145.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.224,0.776,303.15,153.6,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.224,0.776,313.15,172.1,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",ethanol,0.224,0.776,323.15,190.2,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CCO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.81,0.19,298.15,257,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.81,0.19,303.15,262,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.81,0.19,313.15,275,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.81,0.19,323.15,290,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.591,0.409,298.15,215.5,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.591,0.409,303.15,225.3,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.591,0.409,313.15,246.8,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.591,0.409,323.15,262.5,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.399,0.601,298.15,177.6,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.399,0.601,303.15,191.4,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.399,0.601,313.15,214.1,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.399,0.601,323.15,233.4,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.202,0.798,298.15,130.8,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.202,0.798,303.15,144.8,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.202,0.798,313.15,169,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1,3-dimethylimidazol-1-ium;dimethyl phosphate",methanol,0.202,0.798,323.15,190.1,CN1C=C[N+](=C1)C.COP(=O)([O-])OC,CO
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.9541,0.0459,293.15,403,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.9541,0.0459,298.15,406,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.9541,0.0459,303.15,409,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.9541,0.0459,308.15,412,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.9036,0.0964,293.15,392,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.9036,0.0964,298.15,395,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.9036,0.0964,303.15,398,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.9036,0.0964,308.15,401,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.8421,0.1579,293.15,379,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.8421,0.1579,298.15,382,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.8421,0.1579,303.15,385,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.8421,0.1579,308.15,388,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.8014,0.1986,293.15,370,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.8014,0.1986,298.15,373,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.8014,0.1986,303.15,376,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.8014,0.1986,308.15,380,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.7488,0.2512,293.15,359,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.7488,0.2512,298.15,362,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.7488,0.2512,303.15,365,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.7488,0.2512,308.15,368,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.7045,0.2955,293.15,349,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.7045,0.2955,298.15,352,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.7045,0.2955,303.15,356,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.7045,0.2955,308.15,359,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.6523,0.3477,293.15,338,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.6523,0.3477,298.15,341,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.6523,0.3477,303.15,344,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.6523,0.3477,308.15,347,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.6018,0.3982,293.15,326,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.6018,0.3982,298.15,329,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.6018,0.3982,303.15,333,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.6018,0.3982,308.15,335,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.5523,0.4477,293.15,315,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.5523,0.4477,298.15,318,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.5523,0.4477,303.15,321,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.5523,0.4477,308.15,324,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.5055,0.4945,293.15,304,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.5055,0.4945,298.15,307,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.5055,0.4945,303.15,310,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.5055,0.4945,308.15,313,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.4412,0.5588,293.15,288,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.4412,0.5588,298.15,291,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.4412,0.5588,303.15,294,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.4412,0.5588,308.15,297,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.3942,0.6058,293.15,277,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.3942,0.6058,298.15,280,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.3942,0.6058,303.15,282,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.3942,0.6058,308.15,285,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.3512,0.6488,293.15,266,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.3512,0.6488,298.15,269,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.3512,0.6488,303.15,271,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.3512,0.6488,308.15,273,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.2898,0.7102,293.15,249.4,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.2898,0.7102,298.15,252.2,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.2898,0.7102,303.15,254.6,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.2898,0.7102,308.15,257,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.2356,0.7644,293.15,234.9,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.2356,0.7644,298.15,237.4,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.2356,0.7644,303.15,239.7,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.2356,0.7644,308.15,241.9,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1723,0.8277,293.15,217.5,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1723,0.8277,298.15,219.7,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1723,0.8277,303.15,221.8,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1723,0.8277,308.15,223.9,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1402,0.8598,293.15,208.3,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1402,0.8598,298.15,210.6,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1402,0.8598,303.15,212.6,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1402,0.8598,308.15,214.6,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1123,0.8877,293.15,200.4,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1123,0.8877,298.15,202.6,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1123,0.8877,303.15,204.5,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,"1-butyl-2,3-dimethylimidazol-3-ium tetrafluoroborate",pyrrolidin-2-one,0.1123,0.8877,308.15,206.4,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,C1CC(=O)NC1
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,314.315,176.7,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,314.641,177.1,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,314.966,177.4,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,315.291,177.9,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,315.616,178.2,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,315.942,178.8,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,316.267,179.1,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,316.592,179.6,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,316.918,179.9,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,317.243,180.4,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,317.568,180.9,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,317.894,181.2,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,318.219,181.8,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,318.545,182.3,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,318.87,182.7,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,319.195,183.3,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,319.521,183.9,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,319.846,184.4,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,320.171,184.9,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,320.497,185.4,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,320.822,186,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,321.148,186.5,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,321.473,187.1,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,321.798,188,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,322.123,188.6,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,322.449,189.4,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,322.775,190.2,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,323.1,190.9,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,323.424,192,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,323.75,193,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,324.075,194.6,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,324.401,195.9,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,324.726,198.3,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,325.052,201.8,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
III,1-butyl-3-methylimidazol-3-ium hexafluorophosphate,ethanol,0.107,0.893,325.377,205.3,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,CCO
