Type of DES,Component#1,Component#2,X#1,X#2,"Melting_point, K",Smiles#1,Smiles#2,"T#1, K","T#2, K"
III,ethanamine;hydrochloride,trifluoromethylurea,0.4,0.6,293.15,CCN.Cl,C(=O)(N)NC(F)(F)F,380.65,302.96
III,2-hydroxyethyl(trimethyl)azanium;chloride,methylurea,0.3333,0.6667,302.15,C[N+](C)(C)CCO.[Cl-],CNC(=O)N,578.15,373.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.34,0.66,261.71,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,578.15,293.58
III,2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.28,0.72,249.07,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,578.15,293.58
III,2-hydroxyethyl(trimethyl)azanium;chloride,"butane-1,4-diol",0.25,0.75,241.15,C[N+](C)(C)CCO.[Cl-],C(CCO)CO,578.15,293.58
III,2-hydroxyethyl(trimethyl)azanium;chloride,"1,1-dimethylurea",0.3333,0.6667,422.15,C[N+](C)(C)CCO.[Cl-],CN(C)C(=O)N,578.15,454.2
III,2-hydroxyethyl(trimethyl)azanium;chloride,"1,1-dimethylurea",0.38,0.62,392.15,C[N+](C)(C)CCO.[Cl-],CN(C)C(=O)N,578.15,454.2
III,tetraethylazanium;bromide,"1,3-dimethylurea",0.3333,0.6667,296.15,CC[N+](CC)(CC)CC.[Br-],CNC(=O)NC,633,379.4
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.75,0.25,372.87,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.6667,0.3333,374.69,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.5,0.5,387.58,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.3333,0.6667,406.92,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,benzyl(triphenyl)phosphanium;chloride,"2,2,2-trifluoroacetamide",0.1667,0.8333,403.05,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(=O)(C(F)(F)F)N,603.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.4,0.6,294,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.36,0.64,270,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.3333,0.6667,243.14,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.3333,0.6667,243,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,2,2-trifluoroacetamide",0.29,0.71,229,C[N+](C)(C)CCO.[Cl-],C(=O)(C(F)(F)F)N,578.15,348
III,ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.6667,0.3333,300,CCN.Cl,C(=O)(C(F)(F)F)N,380.65,348
III,ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.5,0.5,298.7,CCN.Cl,C(=O)(C(F)(F)F)N,380.65,348
III,ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.4,0.6,294,CCN.Cl,C(=O)(C(F)(F)F)N,380.65,348
III,ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.3333,0.6667,302.5,CCN.Cl,C(=O)(C(F)(F)F)N,380.65,348
III,ethanamine;hydrochloride,"2,2,2-trifluoroacetamide",0.25,0.75,308,CCN.Cl,C(=O)(C(F)(F)F)N,380.65,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.1111,0.8889,203.9,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.727273,0.272727,350.19,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.6667,0.3333,363.73,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.5,0.5,336.8,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.4,0.6,331.55,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.3333,0.6667,273.15,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.25,0.75,241.36,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.2,0.8,223.88,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.143,0.857,211.16,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.0909,0.9091,206.11,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,methyl(triphenyl)phosphanium;bromide,"2,2,2-trifluoroacetamide",0.0667,0.9333,206.37,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,504.15,348
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dimethylphenol",0.4,0.6,330.5,C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,578.15,345.69
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dimethylphenol",0.332,0.668,323.6,C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,578.15,345.69
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dimethylphenol",0.25,0.75,290.8,C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,578.15,345.69
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dimethylphenol",0.2,0.8,316.3,C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,578.15,345.69
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dimethylphenol",0.1667,0.8333,325,C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,578.15,345.69
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dimethylphenol",0.1,0.9,339.8,C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,578.15,345.69
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2,4,6-trimethylphenol",0.3333,0.6667,307.06,C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C(=C1)C)O)C,578.15,345.05
III,2-hydroxyethyl(trimethyl)azanium;chloride,"3,4-dimethylphenol",0.3333,0.6667,273.16,C[N+](C)(C)CCO.[Cl-],CC1=C(C=C(C=C1)O)C,578.15,334
III,methyl(trioctyl)azanium;chloride,4-hydroxybenzonitrile,0.5,0.5,211.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],C1=CC(=CC=C1C#N)O,253.15,384.65
III,methyl(trioctyl)azanium;chloride,4-hydroxybenzonitrile,0.3333,0.6667,210.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],C1=CC(=CC=C1C#N)O,253.15,384.65
III,2-hydroxyethyl(trimethyl)azanium;chloride,4-hydroxybenzoic acid,0.6667,0.3333,360.15,C[N+](C)(C)CCO.[Cl-],C1=CC(=CC=C1C(=O)O)O,578.15,489.4
III,methyl(trioctyl)azanium;chloride,4-phenylphenol,0.5,0.5,301.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],C1=CC=C(C=C1)C2=CC=C(C=C2)O,253.15,437.65
III,2-hydroxyethyl(trimethyl)azanium;chloride,5-phenylpentanoic acid,0.4,0.6,293.15,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)CCCCC(=O)O,578.15,331.98
III,azanium;thiocyanate,acetamide,0.4,0.6,297,C(#N)[S-].[NH4+],CC(=O)N,422.75,354.06
III,azanium;thiocyanate,acetamide,0.25,0.75,278.15,C(#N)[S-].[NH4+],CC(=O)N,422.75,354.06
III,2-hydroxyethyl(trimethyl)azanium;chloride,acetamide,0.3333,0.6667,324.16,C[N+](C)(C)CCO.[Cl-],CC(=O)N,578.15,354.06
III,ethanamine;hydrochloride,acetamide,0.75,0.25,335.15,CCN.Cl,CC(=O)N,380.65,354.06
III,ethanamine;hydrochloride,acetamide,0.6667,0.3333,330.15,CCN.Cl,CC(=O)N,380.65,354.06
III,ethanamine;hydrochloride,acetamide,0.6,0.4,319.15,CCN.Cl,CC(=O)N,380.65,354.06
III,ethanamine;hydrochloride,acetamide,0.5,0.5,306.15,CCN.Cl,CC(=O)N,380.65,354.06
III,ethanamine;hydrochloride,acetamide,0.4,0.6,293.15,CCN.Cl,CC(=O)N,380.65,354.06
III,ethanamine;hydrochloride,acetamide,0.3333,0.6667,310.15,CCN.Cl,CC(=O)N,380.65,354.06
III,ethanamine;hydrochloride,acetamide,0.25,0.75,318.15,CCN.Cl,CC(=O)N,380.65,354.06
III,tetrabutylazanium;bromide,acetic acid,0.5,0.5,254.7,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CC(=O)O,390.8,289.85
III,"2-(diethylamino)ethyl 2,2-diphenylacetate;hydrochloride",2-acetyloxybenzoic acid,0.6667,0.3333,250.15,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2.Cl,CC(=O)OC1=CC=CC=C1C(=O)O,387.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.893,0.107,555.58,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.8,0.2,527.48,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.696,0.304,495.55,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.595,0.405,450.78,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.499,0.501,418.25,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.414,0.586,382.48,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.2857,0.7143,340.65,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.206,0.794,354.85,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,0.101,0.899,381.52,C[N+](C)(C)CCO.[Cl-],CC(=O)OC1=CC=CC=C1C(=O)O,578.15,414
III,tetraethylazanium;bromide,hexanedioic acid,0.49,0.51,347.86,CC[N+](CC)(CC)CC.[Br-],C(CCC(=O)O)CC(=O)O,633,426.2
III,tetrapropylazanium;bromide,hexanedioic acid,0.52,0.48,332,CCC[N+](CCC)(CCC)CCC.[Br-],C(CCC(=O)O)CC(=O)O,583,426.2
III,2-hydroxyethyl(trimethyl)azanium;chloride,hexanedioic acid,0.5,0.5,358.15,C[N+](C)(C)CCO.[Cl-],C(CCC(=O)O)CC(=O)O,578.15,426.2
III,tetrabutylazanium;chloride,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,0.8889,0.1111,299.31,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C[C@@H](C(=O)O)N)CN=C(N)N,344,517.15
III,tetrabutylazanium;chloride,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,0.875,0.125,299.55,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C[C@@H](C(=O)O)N)CN=C(N)N,344,517.15
III,tetrabutylazanium;chloride,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,0.857,0.143,298.22,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C(C[C@@H](C(=O)O)N)CN=C(N)N,344,517.15
III,tetrabutylazanium;chloride,(2S)-2-aminobutanedioic acid,0.916667,0.083333,304.93,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C([C@@H](C(=O)O)N)C(=O)O,344,543.15
III,tetrabutylazanium;chloride,(2S)-2-aminobutanedioic acid,0.909091,0.090909,305.96,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C([C@@H](C(=O)O)N)C(=O)O,344,543.15
III,tetrabutylazanium;chloride,(2S)-2-aminobutanedioic acid,0.9,0.1,298.23,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],C([C@@H](C(=O)O)N)C(=O)O,344,543.15
III,2-hydroxyethyl(trimethyl)azanium;chloride,benzamide,0.42,0.58,362.15,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)N,578.15,400.16
III,2-hydroxyethyl(trimethyl)azanium;chloride,benzamide,0.3333,0.6667,365.15,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)N,578.15,400.16
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,257.09,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,578.15,453.15
III,tetraethylazanium;bromide,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,262.09,CC[N+](CC)(CC)CC.[Br-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,633,453.15
III,tetrapropylazanium;bromide,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,265.61,CCC[N+](CCC)(CCC)CCC.[Br-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,583,453.15
III,2-hydroxyethyl(trimethyl)azanium;chloride,benzoic acid,0.5,0.5,368.15,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)O,578.15,395.5
III,2-hydroxyethyl(trimethyl)azanium;chloride,benzoic acid,0.28,0.72,351.15,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(=O)O,578.15,395.5
III,tetrapropylazanium;bromide,boric acid,0.802,0.198,218.129,CCC[N+](CCC)(CCC)CCC.[Br-],B(O)(O)O,583,443.15
III,tetrapropylazanium;bromide,boric acid,0.7005,0.2995,186.7742,CCC[N+](CCC)(CCC)CCC.[Br-],B(O)(O)O,583,443.15
III,tetrapropylazanium;bromide,boric acid,0.599,0.401,147.5806,CCC[N+](CCC)(CCC)CCC.[Br-],B(O)(O)O,583,443.15
III,tetrapropylazanium;bromide,boric acid,0.5,0.5,77.9032,CCC[N+](CCC)(CCC)CCC.[Br-],B(O)(O)O,583,443.15
III,tetrapropylazanium;bromide,boric acid,0.3984,0.6016,96.1935,CCC[N+](CCC)(CCC)CCC.[Br-],B(O)(O)O,583,443.15
III,tetrapropylazanium;bromide,boric acid,0.2995,0.7005,120.5806,CCC[N+](CCC)(CCC)CCC.[Br-],B(O)(O)O,583,443.15
III,tetrapropylazanium;bromide,boric acid,0.1979,0.8021,142.3548,CCC[N+](CCC)(CCC)CCC.[Br-],B(O)(O)O,583,443.15
III,tetrapropylazanium;bromide,boric acid,0.0965,0.9035,158.9032,CCC[N+](CCC)(CCC)CCC.[Br-],B(O)(O)O,583,443.15
III,butyl(trimethyl)azanium;chloride,butanoic acid,0.3333,0.6667,255.19,CCCC[N+](C)(C)C.[Cl-],CCCC(=O)O,283.65,265.25
III,butyl(trimethyl)azanium;chloride,butanoic acid,0.25,0.75,252.94,CCCC[N+](C)(C)C.[Cl-],CCCC(=O)O,283.65,265.25
III,butyl(trimethyl)azanium;chloride,butanoic acid,0.2,0.8,260,CCCC[N+](C)(C)C.[Cl-],CCCC(=O)O,283.65,265.25
III,2-hydroxyethyl(trimethyl)azanium;chloride,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",0.6667,0.3333,340.15,C[N+](C)(C)CCO.[Cl-],C1=CC(=C(C=C1C=CC(=O)O)O)O,578.15,505.66
III,tetramethylazanium;chloride,decanoic acid,0.9,0.1,573.35,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.81,0.19,544.65,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.692,0.308,497.45,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.601,0.399,463.25,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.499,0.501,423.75,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.402,0.598,390.85,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.31,0.69,347.75,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.206,0.794,303.75,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.198,0.802,303.83,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.109,0.891,304.94,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetramethylazanium;chloride,decanoic acid,0.099,0.901,304.55,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,693.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.902,0.098,495.25,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.808,0.192,465.25,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.717,0.283,435.85,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.699,0.301,431,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.65,0.35,403.28,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.59,0.41,373.45,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.508,0.492,344.22,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.5,0.5,346.25,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.401,0.599,312.28,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.303,0.697,301.66,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.196,0.804,304.18,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetraethylazanium;chloride,decanoic acid,0.097,0.903,305.05,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,633.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.9,0.1,483.45,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.799,0.201,444.45,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.7,0.3,404.05,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.6,0.4,375.55,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.5,0.5,346.25,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.401,0.599,316.91,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.4,0.6,315.55,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.296,0.704,300.3,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.202,0.798,295.57,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrapropylazanium;chloride,decanoic acid,0.1,0.9,304.36,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,514.15,304.8
III,tetrabutylazanium;chloride,decanoic acid,0.3333,0.6667,261.2,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],CCCCCCCCCC(=O)O,344,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.938,0.062,543.95,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.896,0.104,520.95,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.85,0.15,499.8,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.786,0.214,473.55,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.76,0.24,453.7,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.675,0.325,427.85,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.642,0.358,413.7,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.592,0.408,395.55,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.54,0.46,373.6,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.485,0.515,343.3,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.456,0.544,328.75,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.399,0.601,304.7,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.342,0.658,305.45,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.3,0.7,304.06,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.296,0.704,304.1,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.212,0.788,304.45,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.212,0.788,300.98,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,2-hydroxyethyl(trimethyl)azanium;chloride,decanoic acid,0.101,0.899,304.6,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,578.15,304.8
III,benzyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",0.5,0.5,304.15,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,516.15,428.56
III,2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",0.948,0.052,557.85,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(CC(=O)O)(C(=O)O)O,578.15,428.56
