Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Electrical_conductivity, S.cm-1",lg_Conductivity,Smiles#1,Smiles#2,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3636,0.6364,348.15,2.48E-02,-1.606424797,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3636,0.6364,353.15,2.60E-02,-1.584308989,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,298.15,7.33E-03,-2.134777544,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,303.15,1.02E-02,-1.991783198,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,308.15,1.14E-02,-1.942828558,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,313.15,1.36E-02,-1.867964562,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,318.15,1.59E-02,-1.798739468,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,323.15,1.72E-02,-1.764850464,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,328.15,2.02E-02,-1.694068526,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,333.15,2.30E-02,-1.638442139,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,338.15,2.42E-02,-1.616184634,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,343.15,2.56E-02,-1.591777,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,348.15,2.71E-02,-1.567591969,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,353.15,2.81E-02,-1.551726645,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,298.15,8.32E-03,-2.080033299,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,303.15,1.07E-02,-1.97203914,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,308.15,1.21E-02,-1.91829273,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,313.15,1.41E-02,-1.849765641,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,318.15,1.66E-02,-1.780992122,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,323.15,1.80E-02,-1.745282782,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,328.15,2.13E-02,-1.672498027,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,333.15,2.43E-02,-1.615341988,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,338.15,2.52E-02,-1.599427476,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,343.15,2.63E-02,-1.580457275,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,348.15,2.78E-02,-1.555970826,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.28,0.72,353.15,2.87E-02,-1.542269452,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,278.15,3.53E-03,-2.452225295,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,280.65,4.00E-03,-2.397940009,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,283.15,4.52E-03,-2.344861565,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,285.65,5.06E-03,-2.295849483,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,288.15,5.66E-03,-2.247183569,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,290.65,6.33E-03,-2.19859629,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,293.15,7.01E-03,-2.154281982,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,295.65,7.76E-03,-2.110138279,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,298.15,8.47E-03,-2.07211659,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,300.65,9.32E-03,-2.030584088,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,303.15,1.02E-02,-1.991399828,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,305.65,1.11E-02,-1.954677021,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,308.15,1.21E-02,-1.91721463,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,310.65,1.31E-02,-1.882728704,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,313.15,1.42E-02,-1.847711656,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,315.65,1.53E-02,-1.815308569,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,318.15,1.67E-02,-1.777283529,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,320.65,1.77E-02,-1.752026734,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,323.15,1.89E-02,-1.723538196,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,325.65,2.02E-02,-1.694648631,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,328.15,2.16E-02,-1.665546249,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,330.65,2.32E-02,-1.634512015,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,333.15,2.45E-02,-1.610833916,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,335.65,2.60E-02,-1.585026652,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"ethane-1,2-diol",0.3333,0.6667,338.15,2.76E-02,-1.559090918,C[N+](C)(C)CCO.[Cl-],C(CO)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,pentanedioic acid,0.5,0.5,298.15,1.10E-04,-3.958607315,C[N+](C)(C)CCO.[Cl-],C(CC(=O)O)CC(=O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,313.15,9.00E-06,-5.045757491,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,318.15,1.60E-05,-4.795880017,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,323.15,2.90E-05,-4.537602002,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,328.15,5.10E-05,-4.292429824,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,333.15,8.00E-05,-4.096910013,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,338.15,1.25E-04,-3.903089987,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,343.15,1.88E-04,-3.725842151,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,348.15,2.72E-04,-3.565431096,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,353.15,3.86E-04,-3.413412695,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,358.15,5.22E-04,-3.282329497,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,363.15,6.61E-04,-3.179798541,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,368.15,8.95E-04,-3.048176965,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",0.5,0.5,373.15,1.22E-03,-2.914352712,C[N+](C)(C)CCO.[Cl-],C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,293.15,1.05E-03,-2.980053318,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,298.15,1.30E-03,-2.886725308,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,303.15,1.64E-03,-2.786216701,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,308.15,1.95E-03,-2.710634048,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,313.15,2.32E-03,-2.634512015,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,218.15,2.71E-03,-2.567030709,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,323.15,3.11E-03,-2.507239611,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,328.15,3.56E-03,-2.448550002,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,298.15,1.93E-03,-2.714667772,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,303.15,2.19E-03,-2.659357622,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,308.15,3.16E-03,-2.500175504,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,313.15,3.68E-03,-2.434152181,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,318.15,4.60E-03,-2.336959025,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,323.15,5.86E-03,-2.231806038,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,328.15,6.67E-03,-2.176004409,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,333.15,7.81E-03,-2.107627093,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,338.15,8.98E-03,-2.046723663,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,343.15,9.86E-03,-2.005990967,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,348.15,1.16E-02,-1.937493225,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.5,0.5,353.15,1.30E-02,-1.887596107,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,298.15,1.75E-03,-2.757210191,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,303.15,1.95E-03,-2.709742731,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,308.15,2.55E-03,-2.593630165,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,313.15,3.00E-03,-2.522300072,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,318.15,3.99E-03,-2.398918272,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,323.15,5.12E-03,-2.290730039,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,328.15,6.05E-03,-2.218531857,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,333.15,7.19E-03,-2.143452355,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,338.15,8.16E-03,-2.088309841,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,343.15,8.96E-03,-2.04793441,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,348.15,1.06E-02,-1.973507593,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.3333,0.6667,353.15,1.22E-02,-1.913960669,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,298.15,1.46E-03,-2.834755674,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,303.15,1.55E-03,-2.808828544,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,308.15,2.04E-03,-2.691435586,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,313.15,2.57E-03,-2.590066877,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,318.15,3.11E-03,-2.506960412,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,323.15,3.82E-03,-2.418391634,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,328.15,4.81E-03,-2.317764643,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,333.15,5.76E-03,-2.239803771,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,338.15,6.72E-03,-2.172824652,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,343.15,7.81E-03,-2.107627093,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,348.15,9.29E-03,-2.032171321,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"propane-1,2,3-triol",0.25,0.75,353.15,1.08E-02,-1.966576245,C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,1H-imidazole,0.3,0.7,333.15,1.20E-02,-1.920818754,C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,1H-imidazole,0.3,0.7,343.15,1.60E-02,-1.795880017,C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,1H-imidazole,0.3,0.7,353.15,2.20E-02,-1.657577319,C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,1H-imidazole,0.3,0.7,363.15,2.60E-02,-1.585026652,C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,1H-imidazole,0.3,0.7,373.15,3.10E-02,-1.508638306,C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,1H-imidazole,0.3,0.7,383.15,4.00E-02,-1.397940009,C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,1H-imidazole,0.3,0.7,393.15,4.60E-02,-1.337242168,C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,1H-imidazole,0.3,0.7,403.15,5.20E-02,-1.283996656,C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,(2S)-2-hydroxypropanoic acid,0.3333,0.6667,298.15,1.06E-03,-2.974694135,C[N+](C)(C)CCO.[Cl-],C[C@@H](C(=O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxypropanoic acid,0.5,0.5,303.15,9.01E-04,-3.045275209,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxypropanoic acid,0.5,0.5,308.15,1.19E-03,-2.922995673,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxypropanoic acid,0.5,0.5,313.15,1.59E-03,-2.799970733,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxypropanoic acid,0.5,0.5,318.15,2.07E-03,-2.684029655,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxypropanoic acid,0.5,0.5,323.15,2.65E-03,-2.576754126,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxypropanoic acid,0.5,0.5,328.15,3.35E-03,-2.474955193,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,2-hydroxypropanoic acid,0.5,0.5,333.15,4.17E-03,-2.379863945,C[N+](C)(C)CCO.[Cl-],CC(C(=O)O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,propanedioic acid,0.5,0.5,298.15,9.10E-04,-3.040958608,C[N+](C)(C)CCO.[Cl-],C(C(=O)O)C(=O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,293.15,7.00E-06,-5.15490196,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,298.15,1.10E-05,-4.958607315,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,303.15,1.70E-05,-4.769551079,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,308.15,2.70E-05,-4.568636236,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,313.15,4.00E-05,-4.397940009,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,,,
III,2-hydroxyethyl(trimethyl)azanium chloride,"2,2-dihydroxyindene-1,3-dione",0.5714,0.4286,318.15,5.90E-05,-4.229147988,C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,,,
